"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
11,118,2,10,32,RandomStructured|0.79
11,158,1,10,32,RandomStructured|0.79
11,181,1,10,32,RandomStructured|0.79
12,57,2,10,32,RandomStructured|0.79
12,114,2,10,32,RandomStructured|0.79
12,141,4,10,32,RandomStructured|0.79
12,145,2,10,32,RandomStructured|0.79
12,147,4,10,32,RandomStructured|0.79
12,165,3,10,32,RandomStructured|0.79
12,178,1,10,32,RandomStructured|0.79
13,24,1,10,32,RandomStructured|0.79
13,31,3,10,32,RandomStructured|0.79
13,43,5,10,32,RandomStructured|0.79
13,148,7,10,32,RandomStructured|0.79
14,36,7,10,32,RandomStructured|0.79
14,118,1,10,32,RandomStructured|0.79
14,152,4,10,32,RandomStructured|0.79
14,153,1,10,32,RandomStructured|0.79
15,39,1,10,32,RandomStructured|0.79
15,44,1,10,32,RandomStructured|0.79
15,116,2,10,32,RandomStructured|0.79
15,144,1,10,32,RandomStructured|0.79
15,151,3,10,32,RandomStructured|0.79
16,87,4,10,32,RandomStructured|0.79
16,96,1,10,32,RandomStructured|0.79
16,174,6,10,32,RandomStructured|0.79
17,183,2,10,32,RandomStructured|0.79
18,10,3,10,32,RandomStructured|0.79
18,51,1,10,32,RandomStructured|0.79
18,55,1,10,32,RandomStructured|0.79
19,104,1,10,32,RandomStructured|0.79
19,119,1,10,32,RandomStructured|0.79
19,165,1,10,32,RandomStructured|0.79
20,76,1,10,32,RandomStructured|0.79
20,120,1,10,32,RandomStructured|0.79
21,3,2,10,32,RandomStructured|0.79
21,189,1,10,32,RandomStructured|0.79
22,8,2,10,32,RandomStructured|0.79
22,17,1,10,32,RandomStructured|0.79
22,115,1,10,32,RandomStructured|0.79
22,183,2,10,32,RandomStructured|0.79
23,60,1,10,32,RandomStructured|0.79
23,131,1,10,32,RandomStructured|0.79
25,110,2,10,32,RandomStructured|0.79
26,73,1,10,32,RandomStructured|0.79
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,112,1,10,36,RandomStructured|0.59
1,46,3,10,36,RandomStructured|0.59
1,55,1,10,36,RandomStructured|0.59
1,74,6,10,36,RandomStructured|0.59
1,111,1,10,36,RandomStructured|0.59
1,121,3,10,36,RandomStructured|0.59
1,134,4,10,36,RandomStructured|0.59
2,19,1,10,36,RandomStructured|0.59
2,33,1,10,36,RandomStructured|0.59
2,114,4,10,36,RandomStructured|0.59
2,148,1,10,36,RandomStructured|0.59
3,1,1,10,36,RandomStructured|0.59
3,64,2,10,36,RandomStructured|0.59
3,98,2,10,36,RandomStructured|0.59
4,5,1,10,36,RandomStructured|0.59
4,111,6,10,36,RandomStructured|0.59
5,37,2,10,36,RandomStructured|0.59
5,124,3,10,36,RandomStructured|0.59
5,133,2,10,36,RandomStructured|0.59
6,40,2,10,36,RandomStructured|0.59
7,6,2,10,36,RandomStructured|0.59
7,93,4,10,36,RandomStructured|0.59
8,53,2,10,36,RandomStructured|0.59
8,140,1,10,36,RandomStructured|0.59
8,141,1,10,36,RandomStructured|0.59
9,0,3,10,36,RandomStructured|0.59
9,91,2,10,36,RandomStructured|0.59
9,113,7,10,36,RandomStructured|0.59
9,146,2,10,36,RandomStructured|0.59
10,5,1,10,36,RandomStructured|0.59
10,59,2,10,36,RandomStructured|0.59
10,76,2,10,36,RandomStructured|0.59
10,82,2,10,36,RandomStructured|0.59
10,83,8,10,36,RandomStructured|0.59
10,157,5,10,36,RandomStructured|0.59
11,25,5,10,36,RandomStructured|0.59
11,43,2,10,36,RandomStructured|0.59
11,55,5,10,36,RandomStructured|0.59
11,56,3,10,36,RandomStructured|0.59
12,3,2,10,36,RandomStructured|0.59
12,33,1,10,36,RandomStructured|0.59
12,107,2,10,36,RandomStructured|0.59
12,121,1,10,36,RandomStructured|0.59
13,63,3,10,36,RandomStructured|0.59
13,86,1,10,36,RandomStructured|0.59
13,117,2,10,36,RandomStructured|0.59
14,29,3,10,36,RandomStructured|0.59
14,102,3,10,36,RandomStructured|0.59
15,7,2,10,36,RandomStructured|0.59
15,30,2,10,36,RandomStructured|0.59
15,151,1,10,36,RandomStructured|0.59
16,136,3,10,36,RandomStructured|0.59
16,143,1,10,36,RandomStructured|0.59
16,185,3,10,36,RandomStructured|0.59
17,5,2,10,36,RandomStructured|0.59
17,120,1,10,36,RandomStructured|0.59
18,104,2,10,36,RandomStructured|0.59
18,188,1,10,36,RandomStructured|0.59
19,1,4,10,36,RandomStructured|0.59
19,175,5,10,36,RandomStructured|0.59
20,106,1,10,36,RandomStructured|0.59
23,69,2,10,36,RandomStructured|0.59
23,131,1,10,36,RandomStructured|0.59
24,63,1,10,36,RandomStructured|0.59
24,67,1,10,36,RandomStructured|0.59
24,92,1,10,36,RandomStructured|0.59
25,62,1,10,36,RandomStructured|0.59
25,124,1,10,36,RandomStructured|0.59
26,83,1,10,36,RandomStructured|0.59
26,110,1,10,36,RandomStructured|0.59
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,1,4,10,40,RandomStructured|0.4
0,19,1,10,40,RandomStructured|0.4
0,59,1,10,40,RandomStructured|0.4
0,158,3,10,40,RandomStructured|0.4
1,23,1,10,40,RandomStructured|0.4
1,29,2,10,40,RandomStructured|0.4
1,92,1,10,40,RandomStructured|0.4
1,100,1,10,40,RandomStructured|0.4
1,134,1,10,40,RandomStructured|0.4
2,64,1,10,40,RandomStructured|0.4
2,84,2,10,40,RandomStructured|0.4
2,125,1,10,40,RandomStructured|0.4
2,130,1,10,40,RandomStructured|0.4
2,176,1,10,40,RandomStructured|0.4
3,6,1,10,40,RandomStructured|0.4
3,25,1,10,40,RandomStructured|0.4
3,40,1,10,40,RandomStructured|0.4
3,51,1,10,40,RandomStructured|0.4
3,123,6,10,40,RandomStructured|0.4
3,136,3,10,40,RandomStructured|0.4
3,152,1,10,40,RandomStructured|0.4
4,51,1,10,40,RandomStructured|0.4
4,52,5,10,40,RandomStructured|0.4
4,68,6,10,40,RandomStructured|0.4
4,82,1,10,40,RandomStructured|0.4
5,12,1,10,40,RandomStructured|0.4
5,66,1,10,40,RandomStructured|0.4
5,72,1,10,40,RandomStructured|0.4
5,120,1,10,40,RandomStructured|0.4
5,122,1,10,40,RandomStructured|0.4
5,133,3,10,40,RandomStructured|0.4
6,25,3,10,40,RandomStructured|0.4
6,127,1,10,40,RandomStructured|0.4
6,128,1,10,40,RandomStructured|0.4
6,132,6,10,40,RandomStructured|0.4
6,144,2,10,40,RandomStructured|0.4
7,8,1,10,40,RandomStructured|0.4
7,127,3,10,40,RandomStructured|0.4
7,166,1,10,40,RandomStructured|0.4
8,66,5,10,40,RandomStructured|0.4
8,102,4,10,40,RandomStructured|0.4
8,117,3,10,40,RandomStructured|0.4
