"",,,,
Layer,Info,Number of connected,csv row,pruning type
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,Second Dictionary Attack,1,28,RandomStructured|0.99
27,None,2,28,RandomStructured|0.99
27,Lowest Benign,2,28,RandomStructured|0.99
27,Second ICMP Flood,1,28,RandomStructured|0.99
27,Highest Dictionary Attack,1,28,RandomStructured|0.99
27,None,2,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
27,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,Highest Dictionary Attack,1,28,RandomStructured|0.99
26,Second Dictionary Attack,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,Lowest DNS Flood,2,28,RandomStructured|0.99
26,Lowest Dictionary Attack,1,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,2,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
26,None,1,28,RandomStructured|0.99
25,None,1,28,RandomStructured|0.99
25,None,1,28,RandomStructured|0.99
25,None,4,28,RandomStructured|0.99
