"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
27,140,1,1,
27,160,1,1,
28,0,5,1,
28,1,1,1,
28,2,2,1,
28,4,2,1,
28,5,5,1,
28,6,6,1,
28,7,2,1,
28,9,4,1,
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 2).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,14,3,2,
0,69,2,2,
0,90,3,2,
0,101,1,2,
0,112,2,2,
0,117,4,2,
0,122,6,2,
0,148,2,2,
0,168,2,2,
0,172,1,2,
1,0,1,2,
1,9,1,2,
1,11,2,2,
1,15,3,2,
1,23,2,2,
1,34,2,2,
1,48,1,2,
1,79,3,2,
1,99,1,2,
1,105,2,2,
1,120,4,2,
1,162,2,2,
2,55,3,2,
2,59,1,2,
2,87,1,2,
2,98,2,2,
2,106,2,2,
2,113,1,2,
2,124,1,2,
2,129,2,2,
2,163,5,2,
2,170,3,2,
3,17,8,2,
3,59,1,2,
3,98,6,2,
3,103,2,2,
3,111,1,2,
3,139,1,2,
3,144,1,2,
3,169,1,2,
4,21,1,2,
4,27,8,2,
4,43,8,2,
4,57,1,2,
4,75,1,2,
4,120,1,2,
5,21,1,2,
5,64,9,2,
5,78,1,2,
5,139,9,2,
6,88,9,2,
6,130,1,2,
6,168,9,2,
6,177,1,2,
7,98,9,2,
7,124,1,2,
7,158,10,2,
8,97,10,2,
8,141,10,2,
9,40,9,2,
9,102,10,2,
9,181,1,2,
10,7,9,2,
10,16,10,2,
10,155,1,2,
11,21,10,2,
11,76,10,2,
12,144,10,2,
12,161,10,2,
13,55,10,2,
13,87,10,2,
14,66,10,2,
14,68,10,2,
15,52,10,2,
15,61,10,2,
16,6,10,2,
16,147,10,2,
17,46,9,2,
17,160,10,2,
17,188,1,2,
18,123,10,2,
18,186,10,2,
19,12,10,2,
19,80,10,2,
20,100,10,2,
20,192,10,2,
21,6,10,2,
21,151,10,2,
22,1,1,2,
22,32,1,2,
22,97,9,2,
22,120,9,2,
23,2,9,2,
23,43,1,2,
23,64,1,2,
23,79,9,2,
24,69,7,2,
24,71,1,2,
24,118,1,2,
24,146,2,2,
24,166,1,2,
24,180,1,2,
24,187,7,2,
25,10,7,2,
25,41,1,2,
25,53,1,2,
25,81,1,2,
25,91,9,2,
25,92,5,2,
25,129,1,2,
25,177,2,2,
25,190,1,2,
26,18,1,2,
26,26,4,2,
26,33,1,2,
26,47,3,2,
26,54,1,2,
26,86,2,2,
26,114,1,2,
26,135,4,2,
26,180,1,2,
26,195,1,2,
26,198,1,2,
27,8,1,2,
27,13,3,2,
27,25,3,2,
27,69,1,2,
27,92,1,2,
27,93,1,2,
27,94,1,2,
27,104,5,2,
27,109,3,2,
27,120,3,2,
28,0,6,2,
28,1,1,2,
28,2,1,2,
28,3,6,2,
28,4,2,2,
28,5,2,2,
28,6,2,2,
28,7,5,2,
28,8,2,2,
28,9,3,2,
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 3).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,9,10,3,TOFD
0,33,1,3,TOFD
0,39,9,3,TOFD
0,73,2,3,TOFD
0,75,6,3,TOFD
0,87,2,3,TOFD
1,7,10,3,TOFD
1,9,10,3,TOFD
1,57,2,3,TOFD
1,61,4,3,TOFD
1,69,1,3,TOFD
1,79,2,3,TOFD
1,81,1,3,TOFD
2,5,8,3,TOFD
2,13,7,3,TOFD
2,14,2,3,TOFD
2,18,1,3,TOFD
2,98,2,3,TOFD
3,25,8,3,TOFD
3,31,1,3,TOFD
3,51,1,3,TOFD
3,72,2,3,TOFD
3,75,2,3,TOFD
3,88,5,3,TOFD
3,93,1,3,TOFD
4,23,1,3,TOFD
4,68,2,3,TOFD
4,76,8,3,TOFD
4,79,2,3,TOFD
4,92,7,3,TOFD
5,14,1,3,TOFD
5,45,1,3,TOFD
5,68,10,3,TOFD
5,90,8,3,TOFD
6,4,1,3,TOFD
6,53,1,3,TOFD
6,69,9,3,TOFD
6,100,9,3,TOFD
7,25,8,3,TOFD
7,38,1,3,TOFD
7,95,10,3,TOFD
7,98,1,3,TOFD
8,31,2,3,TOFD
8,64,4,3,TOFD
8,71,9,3,TOFD
8,102,5,3,TOFD
9,15,10,3,TOFD
9,48,10,3,TOFD
10,14,10,3,TOFD
10,31,10,3,TOFD
11,21,10,3,TOFD
11,99,10,3,TOFD
12,42,10,3,TOFD
12,104,10,3,TOFD
13,36,10,3,TOFD
13,82,10,3,TOFD
14,29,10,3,TOFD
14,75,10,3,TOFD
15,26,10,3,TOFD
15,83,10,3,TOFD
16,51,10,3,TOFD
16,59,10,3,TOFD
17,0,10,3,TOFD
17,11,10,3,TOFD
18,31,10,3,TOFD
18,66,10,3,TOFD
19,0,10,3,TOFD
19,98,10,3,TOFD
20,58,10,3,TOFD
20,90,10,3,TOFD
21,7,10,3,TOFD
21,26,10,3,TOFD
22,7,10,3,TOFD
22,39,10,3,TOFD
23,57,10,3,TOFD
23,78,10,3,TOFD
24,8,10,3,TOFD
24,98,10,3,TOFD
25,71,10,3,TOFD
25,76,10,3,TOFD
26,9,10,3,TOFD
26,56,10,3,TOFD
27,15,10,3,TOFD
27,93,10,3,TOFD
28,0,10,3,TOFD
28,2,10,3,TOFD
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 4).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,9,7,4,TOFD
0,32,1,4,TOFD
0,50,2,4,TOFD
0,55,6,4,TOFD
0,64,5,4,TOFD
0,95,8,4,TOFD
1,15,10,4,TOFD
1,16,10,4,TOFD
1,63,9,4,TOFD
1,75,1,4,TOFD
2,10,2,4,TOFD
2,50,1,4,TOFD
2,63,1,4,TOFD
2,90,1,4,TOFD
2,91,7,4,TOFD
2,96,8,4,TOFD
3,18,1,4,TOFD
3,29,2,4,TOFD
3,52,3,4,TOFD
3,55,1,4,TOFD
3,88,9,4,TOFD
3,89,4,4,TOFD
4,3,2,4,TOFD
4,26,10,4,TOFD
4,47,2,4,TOFD
4,55,6,4,TOFD
5,63,1,4,TOFD
5,69,9,4,TOFD
5,77,10,4,TOFD
6,15,4,4,TOFD
6,34,8,4,TOFD
6,49,6,4,TOFD
6,76,2,4,TOFD
7,5,10,4,TOFD
7,54,10,4,TOFD
8,53,10,4,TOFD
8,61,10,4,TOFD
9,46,1,4,TOFD
9,69,9,4,TOFD
9,101,10,4,TOFD
10,9,10,4,TOFD
10,31,10,4,TOFD
11,81,10,4,TOFD
11,82,10,4,TOFD
12,58,10,4,TOFD
12,100,10,4,TOFD
13,12,10,4,TOFD
13,72,10,4,TOFD
14,88,10,4,TOFD
14,104,10,4,TOFD
15,13,10,4,TOFD
15,49,10,4,TOFD
16,31,10,4,TOFD
16,52,10,4,TOFD
17,33,10,4,TOFD
17,41,10,4,TOFD
18,28,10,4,TOFD
18,103,10,4,TOFD
19,77,10,4,TOFD
19,91,10,4,TOFD
20,85,10,4,TOFD
20,92,10,4,TOFD
21,10,10,4,TOFD
21,69,10,4,TOFD
22,23,10,4,TOFD
22,67,10,4,TOFD
23,5,10,4,TOFD
23,70,10,4,TOFD
24,46,10,4,TOFD
24,59,10,4,TOFD
25,57,10,4,TOFD
25,92,10,4,TOFD
26,31,10,4,TOFD
26,99,10,4,TOFD
27,49,10,4,TOFD
27,90,10,4,TOFD
28,0,10,4,TOFD
28,2,10,4,TOFD
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 6).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,5,5,6,TOFD
0,8,2,6,TOFD
0,17,9,6,TOFD
0,21,9,6,TOFD
0,48,5,6,TOFD
1,27,2,6,TOFD
1,40,1,6,TOFD
1,53,10,6,TOFD
1,59,4,6,TOFD
1,71,1,6,TOFD
1,75,10,6,TOFD
1,81,2,6,TOFD
2,17,2,6,TOFD
2,28,8,6,TOFD
2,49,2,6,TOFD
2,53,8,6,TOFD
3,10,1,6,TOFD
3,11,1,6,TOFD
3,12,2,6,TOFD
3,43,1,6,TOFD
3,60,8,6,TOFD
3,61,1,6,TOFD
3,71,6,6,TOFD
4,12,6,6,TOFD
4,17,3,6,TOFD
4,27,8,6,TOFD
4,78,2,6,TOFD
4,93,1,6,TOFD
5,19,2,6,TOFD
5,20,2,6,TOFD
5,47,3,6,TOFD
5,69,3,6,TOFD
5,77,2,6,TOFD
5,92,8,6,TOFD
6,11,8,6,TOFD
6,29,1,6,TOFD
6,33,1,6,TOFD
6,66,9,6,TOFD
6,83,1,6,TOFD
7,5,1,6,TOFD
7,39,2,6,TOFD
7,58,8,6,TOFD
7,72,8,6,TOFD
7,73,1,6,TOFD
8,0,8,6,TOFD
8,14,10,6,TOFD
8,22,1,6,TOFD
8,47,1,6,TOFD
9,1,1,6,TOFD
9,40,10,6,TOFD
9,62,9,6,TOFD
10,71,10,6,TOFD
10,99,10,6,TOFD
11,9,10,6,TOFD
11,89,10,6,TOFD
12,33,10,6,TOFD
12,52,10,6,TOFD
13,5,10,6,TOFD
13,85,10,6,TOFD
14,40,10,6,TOFD
14,66,10,6,TOFD
15,36,10,6,TOFD
15,60,10,6,TOFD
16,18,10,6,TOFD
16,51,10,6,TOFD
17,26,10,6,TOFD
17,75,10,6,TOFD
18,8,10,6,TOFD
18,65,10,6,TOFD
19,40,10,6,TOFD
19,41,10,6,TOFD
20,2,10,6,TOFD
20,31,10,6,TOFD
21,13,10,6,TOFD
21,38,10,6,TOFD
22,31,10,6,TOFD
22,86,10,6,TOFD
23,80,10,6,TOFD
23,108,10,6,TOFD
24,7,10,6,TOFD
24,31,10,6,TOFD
25,44,10,6,TOFD
25,96,10,6,TOFD
26,24,10,6,TOFD
26,46,10,6,TOFD
27,21,10,6,TOFD
27,81,10,6,TOFD
28,0,10,6,TOFD
28,2,10,6,TOFD
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 9).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,25,4,9,thinet
0,47,9,9,thinet
0,55,5,9,thinet
0,68,1,9,thinet
0,69,1,9,thinet
0,94,2,9,thinet
0,105,4,9,thinet
1,12,6,9,thinet
1,29,3,9,thinet
1,58,8,9,thinet
1,63,1,9,thinet
1,82,10,9,thinet
1,85,1,9,thinet
1,93,1,9,thinet
2,1,4,9,thinet
2,3,5,9,thinet
2,36,2,9,thinet
2,45,4,9,thinet
2,64,2,9,thinet
2,67,1,9,thinet
2,73,9,9,thinet
2,98,1,9,thinet
3,33,4,9,thinet
3,44,3,9,thinet
3,48,3,9,thinet
3,84,3,9,thinet
3,98,9,9,thinet
4,1,4,9,thinet
4,12,6,9,thinet
4,18,4,9,thinet
4,92,2,9,thinet
4,99,4,9,thinet
5,1,4,9,thinet
5,19,1,9,thinet
5,22,2,9,thinet
5,43,1,9,thinet
5,46,1,9,thinet
5,51,3,9,thinet
5,58,1,9,thinet
5,63,6,9,thinet
5,75,1,9,thinet
5,82,1,9,thinet
5,88,4,9,thinet
6,29,1,9,thinet
6,36,10,9,thinet
6,37,1,9,thinet
6,50,6,9,thinet
6,65,1,9,thinet
6,79,1,9,thinet
7,15,1,9,thinet
7,21,1,9,thinet
7,22,2,9,thinet
7,30,5,9,thinet
7,35,6,9,thinet
7,46,4,9,thinet
7,74,1,9,thinet
8,0,4,9,thinet
8,3,2,9,thinet
8,14,1,9,thinet
8,29,1,9,thinet
8,71,3,9,thinet
8,86,3,9,thinet
8,91,1,9,thinet
8,99,5,9,thinet
9,7,3,9,thinet
9,8,2,9,thinet
9,31,3,9,thinet
9,43,1,9,thinet
9,48,1,9,thinet
9,56,1,9,thinet
9,94,1,9,thinet
9,96,8,9,thinet
10,2,1,9,thinet
10,12,2,9,thinet
10,21,1,9,thinet
10,48,1,9,thinet
10,56,2,9,thinet
10,70,7,9,thinet
10,74,5,9,thinet
10,76,1,9,thinet
11,12,5,9,thinet
11,23,7,9,thinet
11,32,5,9,thinet
11,34,2,9,thinet
11,84,5,9,thinet
12,0,2,9,thinet
12,1,5,9,thinet
12,19,3,9,thinet
12,44,7,9,thinet
12,63,2,9,thinet
12,83,1,9,thinet
13,4,6,9,thinet
13,15,8,9,thinet
13,65,3,9,thinet
13,76,2,9,thinet
13,77,1,9,thinet
14,25,1,9,thinet
14,29,1,9,thinet
14,59,7,9,thinet
14,78,10,9,thinet
14,89,1,9,thinet
15,12,3,9,thinet
15,32,3,9,thinet
15,58,3,9,thinet
15,86,9,9,thinet
15,90,2,9,thinet
16,45,10,9,thinet
16,81,10,9,thinet
17,80,10,9,thinet
17,100,10,9,thinet
18,5,7,9,thinet
18,44,9,9,thinet
18,81,3,9,thinet
18,87,1,9,thinet
19,1,10,9,thinet
19,30,8,9,thinet
19,88,2,9,thinet
20,23,8,9,thinet
20,55,9,9,thinet
20,57,1,9,thinet
20,76,1,9,thinet
20,84,1,9,thinet
21,7,8,9,thinet
21,16,10,9,thinet
21,91,1,9,thinet
21,101,1,9,thinet
22,57,10,9,thinet
22,79,8,9,thinet
22,99,2,9,thinet
23,25,8,9,thinet
23,79,8,9,thinet
23,83,4,9,thinet
24,89,1,9,thinet
24,93,10,9,thinet
24,103,9,9,thinet
25,23,1,9,thinet
25,55,10,9,thinet
25,66,9,9,thinet
26,44,10,9,thinet
26,67,9,9,thinet
26,102,1,9,thinet
27,42,10,9,thinet
27,84,10,9,thinet
28,0,4,9,thinet
28,1,2,9,thinet
28,2,1,9,thinet
28,3,6,9,thinet
28,5,2,9,thinet
28,6,1,9,thinet
28,7,6,9,thinet
28,9,8,9,thinet
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 10).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,13,3,10,thinet
0,14,1,10,thinet
0,17,4,10,thinet
0,54,10,10,thinet
0,75,1,10,thinet
0,77,2,10,thinet
0,87,1,10,thinet
0,96,3,10,thinet
0,97,1,10,thinet
1,18,1,10,thinet
1,19,3,10,thinet
1,30,8,10,thinet
1,37,3,10,thinet
1,54,1,10,thinet
1,73,4,10,thinet
1,89,10,10,thinet
2,12,6,10,thinet
2,26,5,10,thinet
2,59,10,10,thinet
2,70,7,10,thinet
2,76,1,10,thinet
3,24,1,10,thinet
3,67,6,10,thinet
3,68,1,10,thinet
3,74,9,10,thinet
3,92,2,10,thinet
3,98,2,10,thinet
4,26,1,10,thinet
4,55,10,10,thinet
4,93,9,10,thinet
5,48,7,10,thinet
5,68,1,10,thinet
5,69,9,10,thinet
5,99,3,10,thinet
6,15,1,10,thinet
6,23,10,10,thinet
6,31,9,10,thinet
6,67,3,10,thinet
6,73,6,10,thinet
7,2,3,10,thinet
7,50,7,10,thinet
7,55,9,10,thinet
7,96,1,10,thinet
8,3,6,10,thinet
8,7,10,10,thinet
8,76,2,10,thinet
8,99,2,10,thinet
9,69,3,10,thinet
9,72,9,10,thinet
9,82,8,10,thinet
10,52,10,10,thinet
10,56,1,10,thinet
10,101,9,10,thinet
11,46,1,10,thinet
11,66,9,10,thinet
11,73,1,10,thinet
11,89,9,10,thinet
12,43,6,10,thinet
12,54,1,10,thinet
12,90,3,10,thinet
12,99,10,10,thinet
13,3,10,10,thinet
13,47,10,10,thinet
14,10,6,10,thinet
14,54,10,10,thinet
14,55,3,10,thinet
14,58,1,10,thinet
15,2,7,10,thinet
15,33,4,10,thinet
15,39,3,10,thinet
15,87,6,10,thinet
16,8,1,10,thinet
16,9,4,10,thinet
16,41,5,10,thinet
16,49,1,10,thinet
16,69,9,10,thinet
17,30,10,10,thinet
17,41,10,10,thinet
18,41,7,10,thinet
18,61,4,10,thinet
18,74,8,10,thinet
18,100,1,10,thinet
19,31,7,10,thinet
19,51,1,10,thinet
19,77,5,10,thinet
19,81,7,10,thinet
20,13,9,10,thinet
20,85,1,10,thinet
20,96,9,10,thinet
20,108,1,10,thinet
21,23,3,10,thinet
21,24,7,10,thinet
21,34,3,10,thinet
21,62,2,10,thinet
21,76,5,10,thinet
22,1,10,10,thinet
22,14,1,10,thinet
22,108,9,10,thinet
23,54,10,10,thinet
23,88,10,10,thinet
24,9,9,10,thinet
24,11,2,10,thinet
24,66,7,10,thinet
24,100,2,10,thinet
25,53,3,10,thinet
25,101,10,10,thinet
25,103,6,10,thinet
25,110,1,10,thinet
26,16,6,10,thinet
26,21,8,10,thinet
26,25,1,10,thinet
26,71,1,10,thinet
26,86,1,10,thinet
26,90,3,10,thinet
27,74,1,10,thinet
27,77,10,10,thinet
27,89,9,10,thinet
28,0,8,10,thinet
28,1,1,10,thinet
28,2,1,10,thinet
28,3,5,10,thinet
28,6,1,10,thinet
28,7,2,10,thinet
28,9,7,10,thinet
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 11).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,19,2,11,thinet
0,48,1,11,thinet
0,69,1,11,thinet
0,70,7,11,thinet
0,76,6,11,thinet
0,78,3,11,thinet
0,84,1,11,thinet
0,85,1,11,thinet
0,103,1,11,thinet
1,0,1,11,thinet
1,6,4,11,thinet
1,7,4,11,thinet
1,9,9,11,thinet
1,28,1,11,thinet
1,46,1,11,thinet
1,65,1,11,thinet
1,66,1,11,thinet
1,79,2,11,thinet
1,97,1,11,thinet
2,0,3,11,thinet
2,1,1,11,thinet
2,4,5,11,thinet
2,19,1,11,thinet
2,22,1,11,thinet
2,25,3,11,thinet
2,41,1,11,thinet
2,63,1,11,thinet
2,76,1,11,thinet
2,86,1,11,thinet
2,88,2,11,thinet
3,1,4,11,thinet
3,2,4,11,thinet
3,7,4,11,thinet
3,12,2,11,thinet
3,53,1,11,thinet
3,69,6,11,thinet
4,19,2,11,thinet
4,27,1,11,thinet
4,28,2,11,thinet
4,32,6,11,thinet
4,37,1,11,thinet
4,38,1,11,thinet
4,50,2,11,thinet
4,73,1,11,thinet
4,76,3,11,thinet
4,83,2,11,thinet
5,2,3,11,thinet
5,4,1,11,thinet
5,10,1,11,thinet
5,13,1,11,thinet
5,39,9,11,thinet
5,44,2,11,thinet
5,48,1,11,thinet
5,84,1,11,thinet
5,92,1,11,thinet
6,5,2,11,thinet
6,6,1,11,thinet
6,7,1,11,thinet
6,8,5,11,thinet
6,15,6,11,thinet
6,17,1,11,thinet
6,53,2,11,thinet
6,81,1,11,thinet
6,94,1,11,thinet
7,9,3,11,thinet
7,23,3,11,thinet
7,30,6,11,thinet
7,43,2,11,thinet
7,60,2,11,thinet
7,81,3,11,thinet
7,97,1,11,thinet
8,6,5,11,thinet
8,14,3,11,thinet
8,22,1,11,thinet
8,40,3,11,thinet
8,48,1,11,thinet
8,63,2,11,thinet
8,76,1,11,thinet
8,90,4,11,thinet
9,0,1,11,thinet
9,6,2,11,thinet
9,19,8,11,thinet
9,32,2,11,thinet
9,42,3,11,thinet
9,46,1,11,thinet
9,59,3,11,thinet
10,19,8,11,thinet
10,25,1,11,thinet
10,38,1,11,thinet
10,44,1,11,thinet
10,57,3,11,thinet
10,80,5,11,thinet
10,81,1,11,thinet
11,12,2,11,thinet
11,38,1,11,thinet
11,42,3,11,thinet
11,47,6,11,thinet
11,53,1,11,thinet
11,56,4,11,thinet
11,80,1,11,thinet
11,90,1,11,thinet
11,99,1,11,thinet
12,14,1,11,thinet
12,18,9,11,thinet
12,23,3,11,thinet
12,44,4,11,thinet
12,67,3,11,thinet
13,0,1,11,thinet
13,9,1,11,thinet
13,36,1,11,thinet
13,63,5,11,thinet
13,64,1,11,thinet
13,72,1,11,thinet
13,88,7,11,thinet
13,92,2,11,thinet
13,102,1,11,thinet
14,2,2,11,thinet
14,4,8,11,thinet
14,49,1,11,thinet
14,66,9,11,thinet
15,5,6,11,thinet
15,20,1,11,thinet
15,32,2,11,thinet
15,42,10,11,thinet
15,90,1,11,thinet
16,7,2,11,thinet
16,11,6,11,thinet
16,13,10,11,thinet
16,37,2,11,thinet
17,31,9,11,thinet
17,33,8,11,thinet
17,89,3,11,thinet
18,41,3,11,thinet
18,60,1,11,thinet
18,67,2,11,thinet
18,77,2,11,thinet
18,91,5,11,thinet
18,97,7,11,thinet
19,16,8,11,thinet
19,24,5,11,thinet
19,39,4,11,thinet
19,73,1,11,thinet
19,104,1,11,thinet
19,106,1,11,thinet
20,27,2,11,thinet
20,49,2,11,thinet
20,57,4,11,thinet
20,65,2,11,thinet
20,78,4,11,thinet
20,81,5,11,thinet
20,93,1,11,thinet
21,3,1,11,thinet
21,36,1,11,thinet
21,37,4,11,thinet
21,52,6,11,thinet
21,58,1,11,thinet
21,75,4,11,thinet
21,87,1,11,thinet
21,91,1,11,thinet
21,92,1,11,thinet
22,25,3,11,thinet
22,34,1,11,thinet
22,49,4,11,thinet
22,53,1,11,thinet
22,82,1,11,thinet
22,84,7,11,thinet
22,92,2,11,thinet
22,98,1,11,thinet
23,6,1,11,thinet
23,10,9,11,thinet
23,15,1,11,thinet
23,20,3,11,thinet
23,31,4,11,thinet
23,49,3,11,thinet
23,51,2,11,thinet
23,58,2,11,thinet
23,70,2,11,thinet
23,78,1,11,thinet
23,82,1,11,thinet
24,11,1,11,thinet
24,18,3,11,thinet
24,37,9,11,thinet
24,39,1,11,thinet
24,73,3,11,thinet
24,74,1,11,thinet
24,110,2,11,thinet
25,4,4,11,thinet
25,9,3,11,thinet
25,26,3,11,thinet
25,42,3,11,thinet
25,50,1,11,thinet
25,74,6,11,thinet
26,32,2,11,thinet
26,55,3,11,thinet
