"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
26,59,10,11,thinet
26,63,2,11,thinet
26,90,1,11,thinet
26,96,2,11,thinet
27,17,1,11,thinet
27,49,2,11,thinet
27,62,9,11,thinet
27,87,8,11,thinet
28,0,5,11,thinet
28,1,1,11,thinet
28,2,3,11,thinet
28,3,4,11,thinet
28,4,3,11,thinet
28,5,4,11,thinet
28,6,3,11,thinet
28,7,3,11,thinet
28,8,2,11,thinet
28,9,2,11,thinet
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 12).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,0,2,12,RandomStructured
0,1,2,12,RandomStructured
0,43,4,12,RandomStructured
0,46,1,12,RandomStructured
0,71,10,12,RandomStructured
0,104,2,12,RandomStructured
0,159,3,12,RandomStructured
1,18,9,12,RandomStructured
1,25,3,12,RandomStructured
1,38,5,12,RandomStructured
1,117,9,12,RandomStructured
1,135,1,12,RandomStructured
2,39,1,12,RandomStructured
2,65,1,12,RandomStructured
2,88,6,12,RandomStructured
2,92,2,12,RandomStructured
2,104,1,12,RandomStructured
2,107,1,12,RandomStructured
2,131,1,12,RandomStructured
2,145,6,12,RandomStructured
2,166,1,12,RandomStructured
3,3,2,12,RandomStructured
3,4,5,12,RandomStructured
3,96,9,12,RandomStructured
3,99,1,12,RandomStructured
3,118,2,12,RandomStructured
3,128,1,12,RandomStructured
3,144,1,12,RandomStructured
4,17,7,12,RandomStructured
4,28,1,12,RandomStructured
4,99,2,12,RandomStructured
4,130,1,12,RandomStructured
4,173,9,12,RandomStructured
5,73,9,12,RandomStructured
5,80,1,12,RandomStructured
5,131,1,12,RandomStructured
5,143,9,12,RandomStructured
6,68,1,12,RandomStructured
6,104,9,12,RandomStructured
6,113,1,12,RandomStructured
6,127,9,12,RandomStructured
7,38,9,12,RandomStructured
7,41,9,12,RandomStructured
7,49,1,12,RandomStructured
7,130,1,12,RandomStructured
8,21,1,12,RandomStructured
8,40,9,12,RandomStructured
8,107,1,12,RandomStructured
8,132,9,12,RandomStructured
9,5,1,12,RandomStructured
9,9,9,12,RandomStructured
9,154,1,12,RandomStructured
9,182,9,12,RandomStructured
10,32,9,12,RandomStructured
10,42,1,12,RandomStructured
10,89,1,12,RandomStructured
10,131,9,12,RandomStructured
11,6,1,12,RandomStructured
11,124,9,12,RandomStructured
11,159,1,12,RandomStructured
11,169,9,12,RandomStructured
12,21,9,12,RandomStructured
12,72,9,12,RandomStructured
12,96,1,12,RandomStructured
12,121,1,12,RandomStructured
13,11,9,12,RandomStructured
13,98,1,12,RandomStructured
13,113,10,12,RandomStructured
13,142,9,12,RandomStructured
14,34,1,12,RandomStructured
14,72,1,12,RandomStructured
14,171,9,12,RandomStructured
14,182,9,12,RandomStructured
15,4,10,12,RandomStructured
15,40,1,12,RandomStructured
15,91,1,12,RandomStructured
15,118,9,12,RandomStructured
16,37,9,12,RandomStructured
16,118,1,12,RandomStructured
16,138,9,12,RandomStructured
16,139,1,12,RandomStructured
17,14,9,12,RandomStructured
17,118,1,12,RandomStructured
17,151,1,12,RandomStructured
17,166,9,12,RandomStructured
18,40,9,12,RandomStructured
18,144,9,12,RandomStructured
18,149,1,12,RandomStructured
18,168,1,12,RandomStructured
19,121,1,12,RandomStructured
19,149,9,12,RandomStructured
19,157,1,12,RandomStructured
19,188,9,12,RandomStructured
20,39,1,12,RandomStructured
20,44,9,12,RandomStructured
20,60,1,12,RandomStructured
20,124,9,12,RandomStructured
21,0,1,12,RandomStructured
21,45,1,12,RandomStructured
21,79,9,12,RandomStructured
21,161,9,12,RandomStructured
22,15,3,12,RandomStructured
22,31,1,12,RandomStructured
22,48,6,12,RandomStructured
22,73,1,12,RandomStructured
22,89,1,12,RandomStructured
22,173,8,12,RandomStructured
23,22,1,12,RandomStructured
23,38,9,12,RandomStructured
23,167,9,12,RandomStructured
23,196,9,12,RandomStructured
24,16,1,12,RandomStructured
24,25,1,12,RandomStructured
24,38,1,12,RandomStructured
24,48,2,12,RandomStructured
24,135,8,12,RandomStructured
24,195,2,12,RandomStructured
24,196,5,12,RandomStructured
25,2,1,12,RandomStructured
25,38,4,12,RandomStructured
25,47,1,12,RandomStructured
25,79,6,12,RandomStructured
25,101,4,12,RandomStructured
25,115,1,12,RandomStructured
25,160,3,12,RandomStructured
25,199,1,12,RandomStructured
26,20,4,12,RandomStructured
26,23,1,12,RandomStructured
26,57,4,12,RandomStructured
26,66,1,12,RandomStructured
26,97,1,12,RandomStructured
26,132,1,12,RandomStructured
26,158,5,12,RandomStructured
26,195,3,12,RandomStructured
27,19,1,12,RandomStructured
27,84,5,12,RandomStructured
27,88,1,12,RandomStructured
27,112,1,12,RandomStructured
27,124,2,12,RandomStructured
27,141,4,12,RandomStructured
27,187,5,12,RandomStructured
27,197,4,12,RandomStructured
28,0,7,12,RandomStructured
28,1,1,12,RandomStructured
28,2,1,12,RandomStructured
28,3,7,12,RandomStructured
28,4,3,12,RandomStructured
28,5,3,12,RandomStructured
28,6,1,12,RandomStructured
28,7,3,12,RandomStructured
28,8,1,12,RandomStructured
28,9,3,12,RandomStructured
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 13).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,11,1,13,RandomStructured
0,34,8,13,RandomStructured
0,35,5,13,RandomStructured
0,49,2,13,RandomStructured
0,76,9,13,RandomStructured
0,80,1,13,RandomStructured
0,112,2,13,RandomStructured
1,19,6,13,RandomStructured
1,26,4,13,RandomStructured
1,109,2,13,RandomStructured
1,117,10,13,RandomStructured
1,134,5,13,RandomStructured
1,173,2,13,RandomStructured
2,13,1,13,RandomStructured
2,43,1,13,RandomStructured
2,66,1,13,RandomStructured
2,81,1,13,RandomStructured
2,107,5,13,RandomStructured
2,116,3,13,RandomStructured
2,131,2,13,RandomStructured
2,135,2,13,RandomStructured
2,142,1,13,RandomStructured
2,149,1,13,RandomStructured
2,163,1,13,RandomStructured
2,166,1,13,RandomStructured
2,167,4,13,RandomStructured
2,176,1,13,RandomStructured
3,2,2,13,RandomStructured
3,38,3,13,RandomStructured
3,68,3,13,RandomStructured
3,70,1,13,RandomStructured
3,88,2,13,RandomStructured
3,97,3,13,RandomStructured
3,114,1,13,RandomStructured
3,127,2,13,RandomStructured
3,143,3,13,RandomStructured
4,4,1,13,RandomStructured
4,20,4,13,RandomStructured
4,27,2,13,RandomStructured
4,47,1,13,RandomStructured
4,66,3,13,RandomStructured
4,112,4,13,RandomStructured
4,117,1,13,RandomStructured
4,134,2,13,RandomStructured
4,139,2,13,RandomStructured
5,4,2,13,RandomStructured
5,69,4,13,RandomStructured
5,107,3,13,RandomStructured
5,136,3,13,RandomStructured
5,144,7,13,RandomStructured
5,147,1,13,RandomStructured
5,162,1,13,RandomStructured
6,10,3,13,RandomStructured
6,15,6,13,RandomStructured
6,36,7,13,RandomStructured
6,43,3,13,RandomStructured
6,65,1,13,RandomStructured
7,12,1,13,RandomStructured
7,137,3,13,RandomStructured
7,144,7,13,RandomStructured
7,173,9,13,RandomStructured
8,53,7,13,RandomStructured
8,70,3,13,RandomStructured
8,129,10,13,RandomStructured
9,133,10,13,RandomStructured
9,155,10,13,RandomStructured
10,175,10,13,RandomStructured
10,178,10,13,RandomStructured
11,20,10,13,RandomStructured
11,123,10,13,RandomStructured
12,64,10,13,RandomStructured
12,69,10,13,RandomStructured
13,17,10,13,RandomStructured
13,18,10,13,RandomStructured
14,99,10,13,RandomStructured
14,171,10,13,RandomStructured
15,65,10,13,RandomStructured
15,99,10,13,RandomStructured
16,8,10,13,RandomStructured
16,189,10,13,RandomStructured
17,52,10,13,RandomStructured
17,98,10,13,RandomStructured
18,38,3,13,RandomStructured
18,180,7,13,RandomStructured
18,191,10,13,RandomStructured
19,31,10,13,RandomStructured
19,36,10,13,RandomStructured
20,10,7,13,RandomStructured
20,87,1,13,RandomStructured
20,139,3,13,RandomStructured
20,173,1,13,RandomStructured
20,182,8,13,RandomStructured
21,117,2,13,RandomStructured
21,120,2,13,RandomStructured
21,123,5,13,RandomStructured
21,154,1,13,RandomStructured
21,185,6,13,RandomStructured
21,188,5,13,RandomStructured
22,8,4,13,RandomStructured
22,43,3,13,RandomStructured
22,55,1,13,RandomStructured
22,80,1,13,RandomStructured
22,115,2,13,RandomStructured
22,117,6,13,RandomStructured
22,132,2,13,RandomStructured
22,185,1,13,RandomStructured
23,7,1,13,RandomStructured
23,14,2,13,RandomStructured
23,30,1,13,RandomStructured
23,31,1,13,RandomStructured
23,59,2,13,RandomStructured
23,60,2,13,RandomStructured
23,97,1,13,RandomStructured
23,119,4,13,RandomStructured
23,122,2,13,RandomStructured
23,131,1,13,RandomStructured
23,134,1,13,RandomStructured
23,141,1,13,RandomStructured
23,168,1,13,RandomStructured
24,6,2,13,RandomStructured
24,27,3,13,RandomStructured
24,33,1,13,RandomStructured
24,40,4,13,RandomStructured
24,86,1,13,RandomStructured
24,114,1,13,RandomStructured
24,115,2,13,RandomStructured
24,178,1,13,RandomStructured
24,196,5,13,RandomStructured
25,44,5,13,RandomStructured
25,69,1,13,RandomStructured
25,73,2,13,RandomStructured
25,88,7,13,RandomStructured
25,99,2,13,RandomStructured
25,131,1,13,RandomStructured
25,154,1,13,RandomStructured
25,190,2,13,RandomStructured
26,12,1,13,RandomStructured
26,23,2,13,RandomStructured
26,39,1,13,RandomStructured
26,48,1,13,RandomStructured
26,55,1,13,RandomStructured
26,79,1,13,RandomStructured
26,84,2,13,RandomStructured
26,123,2,13,RandomStructured
26,157,1,13,RandomStructured
26,170,1,13,RandomStructured
26,174,6,13,RandomStructured
26,195,1,13,RandomStructured
27,53,1,13,RandomStructured
27,59,1,13,RandomStructured
27,70,2,13,RandomStructured
27,74,2,13,RandomStructured
27,97,3,13,RandomStructured
27,103,2,13,RandomStructured
27,106,5,13,RandomStructured
27,116,1,13,RandomStructured
27,139,1,13,RandomStructured
27,157,1,13,RandomStructured
27,162,1,13,RandomStructured
27,167,1,13,RandomStructured
27,175,1,13,RandomStructured
28,0,6,13,RandomStructured
28,1,1,13,RandomStructured
28,2,1,13,RandomStructured
28,3,3,13,RandomStructured
28,5,3,13,RandomStructured
28,6,2,13,RandomStructured
28,7,6,13,RandomStructured
28,9,4,13,RandomStructured
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 14).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,3,2,14,RandomStructured
0,9,4,14,RandomStructured
0,14,4,14,RandomStructured
0,90,10,14,RandomStructured
0,112,4,14,RandomStructured
0,147,3,14,RandomStructured
0,160,1,14,RandomStructured
0,172,1,14,RandomStructured
0,173,1,14,RandomStructured
1,13,2,14,RandomStructured
1,15,3,14,RandomStructured
1,16,2,14,RandomStructured
1,94,2,14,RandomStructured
1,110,2,14,RandomStructured
1,115,5,14,RandomStructured
1,120,9,14,RandomStructured
2,74,2,14,RandomStructured
2,76,1,14,RandomStructured
2,86,5,14,RandomStructured
2,88,5,14,RandomStructured
2,98,2,14,RandomStructured
2,163,4,14,RandomStructured
2,166,1,14,RandomStructured
2,170,2,14,RandomStructured
3,28,1,14,RandomStructured
3,88,3,14,RandomStructured
3,111,3,14,RandomStructured
3,131,5,14,RandomStructured
3,137,5,14,RandomStructured
3,144,3,14,RandomStructured
3,161,1,14,RandomStructured
4,27,7,14,RandomStructured
4,77,4,14,RandomStructured
4,88,3,14,RandomStructured
4,117,6,14,RandomStructured
5,21,10,14,RandomStructured
5,64,10,14,RandomStructured
6,1,3,14,RandomStructured
6,97,10,14,RandomStructured
6,129,7,14,RandomStructured
7,98,8,14,RandomStructured
7,100,3,14,RandomStructured
7,124,9,14,RandomStructured
8,97,10,14,RandomStructured
8,141,10,14,RandomStructured
9,40,10,14,RandomStructured
9,102,10,14,RandomStructured
10,7,10,14,RandomStructured
10,155,10,14,RandomStructured
11,76,10,14,RandomStructured
11,168,10,14,RandomStructured
12,132,10,14,RandomStructured
12,185,10,14,RandomStructured
13,45,10,14,RandomStructured
13,137,10,14,RandomStructured
14,9,10,14,RandomStructured
14,150,10,14,RandomStructured
15,25,1,14,RandomStructured
15,97,9,14,RandomStructured
15,113,10,14,RandomStructured
16,109,10,14,RandomStructured
16,118,10,14,RandomStructured
17,44,10,14,RandomStructured
17,57,1,14,RandomStructured
17,83,9,14,RandomStructured
18,36,9,14,RandomStructured
18,152,7,14,RandomStructured
18,179,1,14,RandomStructured
18,188,3,14,RandomStructured
19,85,3,14,RandomStructured
19,133,10,14,RandomStructured
19,159,6,14,RandomStructured
19,172,1,14,RandomStructured
20,21,10,14,RandomStructured
20,120,7,14,RandomStructured
20,126,3,14,RandomStructured
21,20,3,14,RandomStructured
21,44,7,14,RandomStructured
21,134,3,14,RandomStructured
21,181,7,14,RandomStructured
22,68,3,14,RandomStructured
22,75,2,14,RandomStructured
22,79,7,14,RandomStructured
22,109,1,14,RandomStructured
22,110,7,14,RandomStructured
23,55,2,14,RandomStructured
23,70,1,14,RandomStructured
23,81,3,14,RandomStructured
23,86,4,14,RandomStructured
23,103,6,14,RandomStructured
23,156,1,14,RandomStructured
23,172,3,14,RandomStructured
24,5,3,14,RandomStructured
24,6,2,14,RandomStructured
24,8,1,14,RandomStructured
24,39,3,14,RandomStructured
24,44,1,14,RandomStructured
24,113,1,14,RandomStructured
24,127,4,14,RandomStructured
24,164,1,14,RandomStructured
24,171,1,14,RandomStructured
24,173,1,14,RandomStructured
24,178,1,14,RandomStructured
24,190,1,14,RandomStructured
25,38,2,14,RandomStructured
25,42,1,14,RandomStructured
25,46,1,14,RandomStructured
25,72,1,14,RandomStructured
25,91,3,14,RandomStructured
25,95,1,14,RandomStructured
25,129,3,14,RandomStructured
25,169,3,14,RandomStructured
25,175,2,14,RandomStructured
25,186,3,14,RandomStructured
26,54,2,14,RandomStructured
26,59,1,14,RandomStructured
26,77,4,14,RandomStructured
26,90,5,14,RandomStructured
26,121,5,14,RandomStructured
26,129,2,14,RandomStructured
26,150,1,14,RandomStructured
26,159,1,14,RandomStructured
26,181,2,14,RandomStructured
27,2,4,14,RandomStructured
27,45,4,14,RandomStructured
27,92,3,14,RandomStructured
27,109,1,14,RandomStructured
27,120,2,14,RandomStructured
27,140,2,14,RandomStructured
27,161,1,14,RandomStructured
27,165,2,14,RandomStructured
27,186,1,14,RandomStructured
28,0,5,14,RandomStructured
28,1,4,14,RandomStructured
28,2,3,14,RandomStructured
28,3,2,14,RandomStructured
28,4,1,14,RandomStructured
28,5,3,14,RandomStructured
28,6,6,14,RandomStructured
28,7,2,14,RandomStructured
28,9,4,14,RandomStructured
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 15).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,45,10,15,Recreation_Run
0,51,1,15,Recreation_Run
0,57,7,15,Recreation_Run
0,67,8,15,Recreation_Run
0,93,1,15,Recreation_Run
1,16,9,15,Recreation_Run
1,36,4,15,Recreation_Run
1,78,10,15,Recreation_Run
1,88,4,15,Recreation_Run
2,10,3,15,Recreation_Run
2,16,3,15,Recreation_Run
2,18,2,15,Recreation_Run
2,24,8,15,Recreation_Run
2,42,2,15,Recreation_Run
2,59,4,15,Recreation_Run
3,2,1,15,Recreation_Run
3,4,4,15,Recreation_Run
3,6,1,15,Recreation_Run
3,8,1,15,Recreation_Run
3,11,4,15,Recreation_Run
3,17,1,15,Recreation_Run
3,29,1,15,Recreation_Run
3,40,2,15,Recreation_Run
3,41,1,15,Recreation_Run
3,76,3,15,Recreation_Run
3,79,1,15,Recreation_Run
4,19,1,15,Recreation_Run
4,21,2,15,Recreation_Run
4,34,2,15,Recreation_Run
4,38,3,15,Recreation_Run
4,39,1,15,Recreation_Run
4,63,1,15,Recreation_Run
4,73,4,15,Recreation_Run
4,83,5,15,Recreation_Run
4,87,1,15,Recreation_Run
5,16,2,15,Recreation_Run
5,36,1,15,Recreation_Run
5,47,1,15,Recreation_Run
5,56,2,15,Recreation_Run
5,60,2,15,Recreation_Run
5,75,4,15,Recreation_Run
5,78,1,15,Recreation_Run
5,89,1,15,Recreation_Run
5,93,5,15,Recreation_Run
5,100,1,15,Recreation_Run
6,7,4,15,Recreation_Run
6,16,4,15,Recreation_Run
6,18,1,15,Recreation_Run
6,23,7,15,Recreation_Run
6,77,1,15,Recreation_Run
6,85,6,15,Recreation_Run
6,92,1,15,Recreation_Run
6,96,3,15,Recreation_Run
7,0,1,15,Recreation_Run
7,13,2,15,Recreation_Run
7,47,6,15,Recreation_Run
7,61,5,15,Recreation_Run
7,67,1,15,Recreation_Run
7,71,3,15,Recreation_Run
7,91,2,15,Recreation_Run
8,11,3,15,Recreation_Run
8,22,2,15,Recreation_Run
8,24,6,15,Recreation_Run
8,37,1,15,Recreation_Run
8,49,1,15,Recreation_Run
8,83,1,15,Recreation_Run
8,98,6,15,Recreation_Run
9,22,1,15,Recreation_Run
9,25,5,15,Recreation_Run
9,38,1,15,Recreation_Run
9,47,2,15,Recreation_Run
9,64,6,15,Recreation_Run
9,68,5,15,Recreation_Run
9,78,2,15,Recreation_Run
9,84,1,15,Recreation_Run
9,99,1,15,Recreation_Run
10,21,2,15,Recreation_Run
10,35,6,15,Recreation_Run
10,36,1,15,Recreation_Run
10,37,1,15,Recreation_Run
10,51,6,15,Recreation_Run
10,91,2,15,Recreation_Run
10,93,2,15,Recreation_Run
11,6,6,15,Recreation_Run
11,14,2,15,Recreation_Run
11,35,6,15,Recreation_Run
11,41,2,15,Recreation_Run
11,52,2,15,Recreation_Run
11,99,2,15,Recreation_Run
12,3,1,15,Recreation_Run
12,11,2,15,Recreation_Run
12,12,4,15,Recreation_Run
12,22,2,15,Recreation_Run
12,35,2,15,Recreation_Run
12,65,5,15,Recreation_Run
12,70,1,15,Recreation_Run
12,78,1,15,Recreation_Run
12,82,2,15,Recreation_Run
13,26,1,15,Recreation_Run
13,40,6,15,Recreation_Run
13,44,2,15,Recreation_Run
13,55,2,15,Recreation_Run
13,56,2,15,Recreation_Run
13,74,2,15,Recreation_Run
13,96,5,15,Recreation_Run
13,102,1,15,Recreation_Run
14,1,5,15,Recreation_Run
14,11,2,15,Recreation_Run
14,43,2,15,Recreation_Run
14,47,4,15,Recreation_Run
14,51,2,15,Recreation_Run
14,57,1,15,Recreation_Run
14,73,2,15,Recreation_Run
14,91,2,15,Recreation_Run
15,4,2,15,Recreation_Run
15,16,6,15,Recreation_Run
15,28,2,15,Recreation_Run
15,44,6,15,Recreation_Run
15,88,2,15,Recreation_Run
15,94,2,15,Recreation_Run
16,0,4,15,Recreation_Run
16,6,2,15,Recreation_Run
16,9,2,15,Recreation_Run
16,46,1,15,Recreation_Run
16,54,2,15,Recreation_Run
16,55,2,15,Recreation_Run
16,64,2,15,Recreation_Run
16,70,4,15,Recreation_Run
16,79,3,15,Recreation_Run
16,104,1,15,Recreation_Run
17,2,2,15,Recreation_Run
17,8,2,15,Recreation_Run
17,9,1,15,Recreation_Run
17,25,1,15,Recreation_Run
17,41,2,15,Recreation_Run
17,48,2,15,Recreation_Run
17,95,1,15,Recreation_Run
17,103,4,15,Recreation_Run
17,105,5,15,Recreation_Run
18,3,2,15,Recreation_Run
18,32,1,15,Recreation_Run
18,46,2,15,Recreation_Run
18,54,2,15,Recreation_Run
18,56,4,15,Recreation_Run
18,64,3,15,Recreation_Run
18,66,3,15,Recreation_Run
18,78,4,15,Recreation_Run
18,81,2,15,Recreation_Run
19,8,3,15,Recreation_Run
19,9,2,15,Recreation_Run
19,51,5,15,Recreation_Run
19,65,3,15,Recreation_Run
19,70,3,15,Recreation_Run
19,71,1,15,Recreation_Run
19,74,1,15,Recreation_Run
19,81,3,15,Recreation_Run
20,1,3,15,Recreation_Run
20,15,1,15,Recreation_Run
20,24,6,15,Recreation_Run
20,46,2,15,Recreation_Run
20,74,3,15,Recreation_Run
20,93,2,15,Recreation_Run
20,97,5,15,Recreation_Run
20,102,2,15,Recreation_Run
20,109,2,15,Recreation_Run
21,11,2,15,Recreation_Run
21,12,5,15,Recreation_Run
21,15,1,15,Recreation_Run
21,20,5,15,Recreation_Run
21,27,3,15,Recreation_Run
21,44,1,15,Recreation_Run
21,47,2,15,Recreation_Run
21,74,4,15,Recreation_Run
22,7,1,15,Recreation_Run
22,11,4,15,Recreation_Run
22,16,3,15,Recreation_Run
22,38,3,15,Recreation_Run
22,58,1,15,Recreation_Run
22,82,2,15,Recreation_Run
22,84,1,15,Recreation_Run
22,89,2,15,Recreation_Run
22,105,3,15,Recreation_Run
23,2,2,15,Recreation_Run
23,5,1,15,Recreation_Run
23,31,1,15,Recreation_Run
23,36,1,15,Recreation_Run
23,38,3,15,Recreation_Run
23,43,1,15,Recreation_Run
23,54,4,15,Recreation_Run
23,58,1,15,Recreation_Run
23,76,1,15,Recreation_Run
23,89,1,15,Recreation_Run
23,97,2,15,Recreation_Run
23,98,1,15,Recreation_Run
23,106,1,15,Recreation_Run
24,29,2,15,Recreation_Run
24,37,3,15,Recreation_Run
24,40,1,15,Recreation_Run
24,45,3,15,Recreation_Run
24,55,1,15,Recreation_Run
24,70,1,15,Recreation_Run
24,75,2,15,Recreation_Run
24,78,3,15,Recreation_Run
24,84,1,15,Recreation_Run
24,91,1,15,Recreation_Run
24,93,2,15,Recreation_Run
24,110,2,15,Recreation_Run
25,11,2,15,Recreation_Run
25,14,2,15,Recreation_Run
25,15,1,15,Recreation_Run
25,27,3,15,Recreation_Run
25,32,2,15,Recreation_Run
25,35,1,15,Recreation_Run
25,39,1,15,Recreation_Run
25,41,1,15,Recreation_Run
25,60,1,15,Recreation_Run
25,98,3,15,Recreation_Run
25,111,3,15,Recreation_Run
26,2,2,15,Recreation_Run
26,4,4,15,Recreation_Run
26,7,3,15,Recreation_Run
26,14,1,15,Recreation_Run
26,27,1,15,Recreation_Run
26,43,1,15,Recreation_Run
26,73,1,15,Recreation_Run
26,90,1,15,Recreation_Run
26,99,3,15,Recreation_Run
26,103,1,15,Recreation_Run
26,112,2,15,Recreation_Run
27,21,1,15,Recreation_Run
27,23,1,15,Recreation_Run
27,30,1,15,Recreation_Run
27,37,2,15,Recreation_Run
27,38,4,15,Recreation_Run
27,42,1,15,Recreation_Run
27,43,1,15,Recreation_Run
27,44,1,15,Recreation_Run
27,72,2,15,Recreation_Run
27,93,1,15,Recreation_Run
27,96,1,15,Recreation_Run
27,101,4,15,Recreation_Run
27,104,1,15,Recreation_Run
27,111,1,15,Recreation_Run
28,0,6,15,Recreation_Run
28,1,1,15,Recreation_Run
28,2,2,15,Recreation_Run
28,4,3,15,Recreation_Run
28,5,4,15,Recreation_Run
28,6,7,15,Recreation_Run
28,7,1,15,Recreation_Run
28,9,4,15,Recreation_Run
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 16).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,3,1,16,Recreation_Run
0,26,3,16,Recreation_Run
0,40,6,16,Recreation_Run
0,52,1,16,Recreation_Run
0,64,8,16,Recreation_Run
0,84,6,16,Recreation_Run
0,88,2,16,Recreation_Run
0,91,1,16,Recreation_Run
1,9,2,16,Recreation_Run
1,15,4,16,Recreation_Run
1,56,6,16,Recreation_Run
1,67,2,16,Recreation_Run
1,69,6,16,Recreation_Run
1,70,1,16,Recreation_Run
1,89,5,16,Recreation_Run
1,96,2,16,Recreation_Run
2,7,6,16,Recreation_Run
2,36,2,16,Recreation_Run
2,41,1,16,Recreation_Run
2,42,2,16,Recreation_Run
2,58,3,16,Recreation_Run
2,67,1,16,Recreation_Run
2,72,6,16,Recreation_Run
2,88,1,16,Recreation_Run
2,95,1,16,Recreation_Run
3,27,7,16,Recreation_Run
3,35,2,16,Recreation_Run
3,58,7,16,Recreation_Run
3,62,1,16,Recreation_Run
3,65,1,16,Recreation_Run
3,73,5,16,Recreation_Run
3,84,1,16,Recreation_Run
4,45,1,16,Recreation_Run
4,63,3,16,Recreation_Run
4,78,9,16,Recreation_Run
4,82,1,16,Recreation_Run
4,100,6,16,Recreation_Run
5,21,2,16,Recreation_Run
5,22,1,16,Recreation_Run
5,27,1,16,Recreation_Run
5,28,8,16,Recreation_Run
5,93,8,16,Recreation_Run
6,11,2,16,Recreation_Run
6,23,7,16,Recreation_Run
6,42,1,16,Recreation_Run
6,95,1,16,Recreation_Run
6,98,9,16,Recreation_Run
7,33,10,16,Recreation_Run
7,98,10,16,Recreation_Run
8,55,1,16,Recreation_Run
8,69,9,16,Recreation_Run
8,95,10,16,Recreation_Run
9,15,9,16,Recreation_Run
9,20,1,16,Recreation_Run
9,38,10,16,Recreation_Run
10,51,10,16,Recreation_Run
10,97,10,16,Recreation_Run
11,3,10,16,Recreation_Run
11,79,10,16,Recreation_Run
12,16,10,16,Recreation_Run
12,20,9,16,Recreation_Run
12,92,1,16,Recreation_Run
13,24,10,16,Recreation_Run
13,80,10,16,Recreation_Run
14,94,10,16,Recreation_Run
14,96,10,16,Recreation_Run
15,3,10,16,Recreation_Run
15,52,10,16,Recreation_Run
16,16,10,16,Recreation_Run
16,98,10,16,Recreation_Run
17,26,10,16,Recreation_Run
17,74,1,16,Recreation_Run
17,88,8,16,Recreation_Run
17,107,1,16,Recreation_Run
18,0,1,16,Recreation_Run
18,1,9,16,Recreation_Run
18,25,10,16,Recreation_Run
19,15,1,16,Recreation_Run
19,42,9,16,Recreation_Run
19,64,10,16,Recreation_Run
20,10,10,16,Recreation_Run
20,23,10,16,Recreation_Run
21,26,10,16,Recreation_Run
21,45,1,16,Recreation_Run
21,48,9,16,Recreation_Run
22,13,1,16,Recreation_Run
22,26,1,16,Recreation_Run
22,76,9,16,Recreation_Run
22,88,9,16,Recreation_Run
23,18,1,16,Recreation_Run
23,29,1,16,Recreation_Run
23,39,8,16,Recreation_Run
23,43,8,16,Recreation_Run
23,66,1,16,Recreation_Run
23,69,1,16,Recreation_Run
24,21,8,16,Recreation_Run
24,29,9,16,Recreation_Run
24,44,1,16,Recreation_Run
24,50,2,16,Recreation_Run
24,52,7,16,Recreation_Run
24,61,1,16,Recreation_Run
25,21,2,16,Recreation_Run
25,54,1,16,Recreation_Run
25,64,1,16,Recreation_Run
25,71,1,16,Recreation_Run
25,76,1,16,Recreation_Run
25,78,5,16,Recreation_Run
25,89,9,16,Recreation_Run
25,93,5,16,Recreation_Run
25,111,3,16,Recreation_Run
26,6,6,16,Recreation_Run
26,9,1,16,Recreation_Run
26,13,4,16,Recreation_Run
26,18,1,16,Recreation_Run
26,29,1,16,Recreation_Run
26,48,1,16,Recreation_Run
26,49,1,16,Recreation_Run
26,59,3,16,Recreation_Run
26,65,1,16,Recreation_Run
26,78,1,16,Recreation_Run
26,94,1,16,Recreation_Run
27,11,3,16,Recreation_Run
27,23,1,16,Recreation_Run
27,37,1,16,Recreation_Run
27,47,6,16,Recreation_Run
27,50,1,16,Recreation_Run
27,52,1,16,Recreation_Run
27,75,4,16,Recreation_Run
27,91,3,16,Recreation_Run
27,108,3,16,Recreation_Run
27,112,2,16,Recreation_Run
28,0,8,16,Recreation_Run
28,1,1,16,Recreation_Run
28,2,2,16,Recreation_Run
28,3,4,16,Recreation_Run
28,5,3,16,Recreation_Run
28,6,2,16,Recreation_Run
28,7,6,16,Recreation_Run
28,8,1,16,Recreation_Run
28,9,2,16,Recreation_Run
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 17).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,19,10,17,Recreation_Run
0,32,3,17,Recreation_Run
0,35,3,17,Recreation_Run
0,62,1,17,Recreation_Run
0,79,1,17,Recreation_Run
0,83,9,17,Recreation_Run
0,86,3,17,Recreation_Run
1,22,10,17,Recreation_Run
1,31,1,17,Recreation_Run
