,Version,Notes,ProcessID,StartTime,Testing,Optimizer,LearningRate,LossFunction,NumberOfEpochs,total_loss,f1_score,mean_loss,val_total_loss,val_f1_score,val_mean_loss,epoch,macs,parameters,Epoch 0 mean_loss,Epoch 2 mean_loss,Epoch 4 mean_loss,Epoch 6 mean_loss,Epoch 8 mean_loss,DatasetName,BatchSize,Dataparallel,NumberOfWorkers
34,v0.10 - 10,0,89922,2024-07-19 19:31:53.632351,,Adam,0.0001,MSE,10.0,,,,,,,,,,,,,,,RandomDummy,3.0,,
35,v0.10 - 10,0,89979,2024-07-19 19:32:29.262189,,Adam,0.0001,MSE,10.0,,,,,,,,,,,,,,,RandomDummy,3.0,,
36,v0.10 - 10,0,90216,2024-07-19 19:35:43.454710,,Adam,0.0001,MSE,10.0,,,,,,,,,,,,,,,RandomDummy,3.0,,
37,v0.10 - 10,0,90304,2024-07-19 19:36:11.048780,,Adam,0.0001,MSE,10.0,,,,,,,,,,,,,,,RandomDummy,3.0,,
38,v0.10 - 10,0,90363,2024-07-19 19:36:54.220100,,Adam,0.0001,MSE,10.0,,,,,,,,,,,,,,,RandomDummy,3.0,,
39,v0.10 - 10,0,90466,2024-07-19 19:37:44.993888,,Adam,0.0001,MSE,10.0,,,,,,,,,,,,,,,RandomDummy,3.0,,
40,v0.10 - 10,4,90581,2024-07-19 19:38:47.169225,,Adam,0.0001,MSE,10.0,22260.0400390625,0.0,742.0013346354167,0.0,0.0,0.0,9.0,10000.0,10100.0,2222.2435546875,1548.2019124348958,1145.817537434896,931.40009765625,794.4733723958333,RandomDummy,3.0,,
41,v0.10 - 10,0,90790,2024-07-19 19:41:25.744347,,Adam,0.0001,CrossEntropy,10.0,1965.3120193481443,0.0,65.51040064493814,0.0,0.0,0.0,0.0,,,65.51040064493814,,,,,RandomDummy,3.0,,
42,v0.10 - 10,0,90898,2024-07-19 19:42:46.278123,,Adam,0.0001,CrossEntropy,10.0,1587.4112167358398,0.0,52.913707224528,0.0,0.0,0.0,9.0,10000.0,10100.0,75.6717653910319,69.1785664876302,69.73661371866862,70.71690216064454,56.016797383626304,RandomDummy,3.0,,
43,v0.11 - 11,0,91096,2024-07-19 19:45:59.305788,,Adam,0.0001,CrossEntropy,10.0,1875.50505065918,0.0,62.51683502197265,0.0,0.0,0.0,9.0,10000.0,10100.0,57.83495941162109,53.407118225097655,64.27890370686849,57.60900065104167,50.03261477152507,RandomDummy,3.0,,
44,v0.11 - 11,0,91170,2024-07-19 19:46:35.058451,,Adam,0.0001,CrossEntropy,10.0,1682.3740310668943,0.0,56.07913436889648,0.0,0.0,0.0,9.0,10000.0,10100.0,66.91505813598633,63.54687296549479,61.10458602905273,53.66449635823568,49.42422332763672,RandomDummy,3.0,,
45,v0.12 - 12,0,91565,2024-07-19 19:53:34.809212,,Adam,0.0001,CrossEntropy,10.0,81.42809963226318,0.4871794871794872,2.714269987742106,0.0,0.0,0.0,9.0,10000.0,10100.0,61.69749501546224,44.8884167989095,29.00624109903972,16.831616083780926,6.212211354573568,RandomDummy,3.0,,
46,v0.12 - 12,0,92172,2024-07-19 20:11:38.465543,,Adam,0.0001,CrossEntropy,10.0,46.45743161439896,0.2987012987012987,1.5485810538132985,0.0,0.0,0.0,9.0,10000.0,10100.0,,,,,,RandomDummy,3.0,-2.0,
47,v0.12 - 12,0,92269,2024-07-19 20:12:15.847610,,Adam,0.0001,CrossEntropy,10.0,201.9091682434082,0.6666666666666666,6.730305608113607,0.0,0.0,0.0,9.0,10000.0,10100.0,,,,,,RandomDummy,3.0,-2.0,
48,v0.12 - 12,0,92624,2024-07-19 20:16:14.927276,,Adam,0.0001,CrossEntropy,10.0,407.7337074279785,0.3333333333333333,13.591123580932615,0.0,0.0,0.0,9.0,10000.0,10100.0,67.79511108398438,50.72159220377604,33.723305257161456,22.91701291402181,16.470596313476562,RandomDummy,3.0,-2.0,
49,v0.12 - 12,0,92172,2024-07-19 20:11:38.465543,,Adam,0.0001,CrossEntropy,10.0,46.45743161439896,0.2987012987012987,1.5485810538132985,0.0,0.0,0.0,9.0,10000.0,10100.0,,,,,,RandomDummy,3.0,-2.0,
50,v0.12 - 12,0,92269,2024-07-19 20:12:15.847610,,Adam,0.0001,CrossEntropy,10.0,201.9091682434082,0.6666666666666666,6.730305608113607,0.0,0.0,0.0,9.0,10000.0,10100.0,,,,,,RandomDummy,3.0,-2.0,
51,v0.12 - 12,0,92624,2024-07-19 20:16:14.927276,,Adam,0.0001,CrossEntropy,10.0,407.7337074279785,0.3333333333333333,13.591123580932615,0.0,0.0,0.0,9.0,10000.0,10100.0,67.79511108398438,50.72159220377604,33.723305257161456,22.91701291402181,16.470596313476562,RandomDummy,3.0,-2.0,
52,v0.13 - 13,0,94799,2024-07-19 22:19:49.882551,,Adam,0.0001,CrossEntropy,10.0,178.20614910125732,0.1568627450980392,5.94020497004191,0.0,0.0,0.0,9.0,10000.0,10100.0,55.023476664225264,38.4931032816569,26.26867345174153,17.463289896647137,9.068689727783203,RandomDummy,3.0,-2.0,0.0
