,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,LayerIteration,SaveLocation,FromSaveLocation,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score,mean_loss,val_total_loss,val_f1_score,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow
10,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87966,2024-08-29 22:27:26.635800,i386,36.18671703338623,0.0,80.0,20.0,1765.023551940918,0.5327919751612132,22.06279439926148,515.2352676391602,0.4663967611336032,25.76176338195801,9.0,22.06279439926148,,22.06279439926148,,22.06279439926148,,22.06279439926148,,22.06279439926148,,1.1092946529388428,18690.0,18931.0,0.0,"100/90, 90/51, 51/100","100/90, 90/51, 51/100",5784.0,5.0
11,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",thinet,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87966,2024-08-29 22:27:29.811015,i386,1.6002202033996582,0.0,80.0,20.0,848017.076171875,0.325,10600.213452148437,220184.263671875,0.3,11009.21318359375,9.0,10600.213452148437,,10600.213452148437,,10600.213452148437,,10600.213452148437,,10600.213452148437,,1.1480090618133545,28391.0,28683.0,232.0,"100/101, 101/91, 91/100","100/101, 101/91, 91/100",5937.0,5.0
12,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87966,2024-08-29 22:27:35.955946,i386,4.519108057022095,0.0,80.0,20.0,1980073338994688.0,0.1594339622641509,24750916737433.6,1303103278153728.0,0.1384615384615384,65155163907686.4,9.0,24750916737433.6,,24750916737433.6,,24750916737433.6,,24750916737433.6,,24750916737433.6,,1.1672310829162598,30602.0,30905.0,6161.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",7182.0,5.0
13,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,88502,2024-08-29 22:37:52.673436,i386,8.821487426757812e-05,0.0,80.0,20.0,512.5593566894531,0.9357046592221794,6.406991958618164,282.33155822753906,0.7951048951048951,14.116577911376954,9.0,165.82584944628178,,478.65617179870605,,45.53885605335236,,43.308512449264526,,12.969058227539062,,1.7726199626922607,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,12.0
14,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",ADDM_Joint|DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,88502,2024-08-29 22:40:16.461062,i386,143.6314833164215,0.0,80.0,20.0,50603.60131502152,0.0,632.5450164377689,11681.289303302765,0.0,584.0644651651382,9.0,632.5450164377689,,632.5450164377689,,632.5450164377689,,632.5450164377689,,632.5450164377689,,1.243522882461548,30602.0,30905.0,23561.0,"100/101, 101/102, 102/100","100/32, 101/35, 102/3",4549.0,13.0
15,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",ADDM_Joint|DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,88852,2024-08-29 22:44:22.022337,i386,8.034706115722656e-05,0.0,80.0,20.0,110485.05981445312,0.9094537815126048,1381.063247680664,41499.53076171875,0.8681818181818182,2074.9765380859376,9.0,206.2163701853832,,111.8823546409607,,544.6495784759521,,238.4239468097687,,789.72890625,,1.4994699954986572,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,14.0
16,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",ADDM_Joint|DAIS_training|DAIS|DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,88852,2024-08-29 22:44:28.541750,i386,4.5464301109313965,0.0,80.0,20.0,525425.26171875,0.0,6567.815771484375,141059.59765625,0.0,7052.9798828125,9.0,6567.815771484375,,6567.815771484375,,6567.815771484375,,6567.815771484375,,6567.815771484375,,1.145327091217041,30602.0,30905.0,6432.0,"100/101, 101/102, 102/100","100/69, 101/70, 102/100",4549.0,15.0
17,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,88949,2024-08-29 22:45:45.794242,i386,7.605552673339844e-05,0.0,80.0,20.0,21871.0924949646,0.9158367346938776,273.3886561870575,38129.8193359375,0.7451048951048951,1906.490966796875,9.0,219.25961779356004,,158.72477242946624,,167.60349516868592,,35.44108076095581,,463.4297034263611,,1.4366700649261477,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,5.0
18,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,88949,2024-08-29 22:45:52.138959,i386,4.446398973464966,0.0,80.0,20.0,5990222.25,0.0,74877.778125,1553718.1875,0.0,77685.909375,9.0,74877.778125,,74877.778125,,74877.778125,,74877.778125,,74877.778125,,1.1069738864898682,30602.0,30905.0,7033.0,"100/101, 101/102, 102/100","100/64, 101/69, 102/100",4549.0,17.0
19,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,89050,2024-08-29 22:46:50.295828,i386,7.104873657226562e-05,0.0,80.0,20.0,5713.484050750732,0.9042295918367348,71.41855063438416,1339.8511962890625,0.85,66.99255981445313,9.0,156.83131176233292,,122.067364692688,,632.219376373291,,342.016138458252,,89.63421563757583,,1.479875087738037,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,5.0
