,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,LayerIteration,SaveLocation,FromSaveLocation,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score,mean_loss,val_total_loss,val_f1_score,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow,NumClasses,NumFeatures,CudaMemory,f1_score_weight,f1_score_macro,val_f1_score_weight,val_f1_score_macro,Dropout,HiddenDim,HiddenDimSize
0,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",ModelStateDict1725335776.646253.pt,,48418,2024-09-02 23:53:32.356401,i386,7.796287536621094e-05,0.0,800.0,200.0,374757.5107421875,0.9931191148775896,468.4468884277344,151899.16674804688,0.977442748091603,759.4958337402344,99.0,18.79747802734375,ModelStateDict-Waypoint_0-1725335644.206464.pt,7.763881535828114,ModelStateDict-Waypoint_1-1725335677.020863.pt,87.176572265625,ModelStateDict-Waypoint_2-1725335709.591976.pt,100.1839810180664,ModelStateDict-Waypoint_3-1725335742.3571541.pt,1248.4950051879882,ModelStateDict-Waypoint_4-1725335774.719996.pt,163.86376094818115,26896.0,19372.0,0.0,"4/48, 36/9, 90/100, 100/100","4/48, 36/9, 90/100, 100/100",2567.0,,,,,,,,,,,
1,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-02 23:56:17.065084,i386,3.1948089599609375e-05,0.0,800.0,200.0,25113565.2578125,0.0,31391.956572265623,6308923.0703125,0.0,31544.6153515625,0.0,,,,,,,,,,,1.1921758651733398,26896.0,19372.0,0.0,"4/48, 36/9, 90/100, 100/100","4/48, 36/9, 90/100, 100/100",4502.0,0.0,,,,,,,,,,
2,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",RandomStructured,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-02 23:56:18.774902,i386,0.042924165725708,0.0,800.0,200.0,37870761.0625,0.0,47338.451328125,9512970.4375,0.0,47564.8521875,99.0,47338.451328125,,47338.451328125,,47338.451328125,,47338.451328125,,47338.451328125,,143.01388788223267,26896.0,19372.0,130.0,"4/48, 36/9, 90/100, 100/100","4/44, 36/6, 90/99, 100/100",2575.0,0.0,,,,,,,,,,
3,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-02 23:59:42.431624,i386,60.12392497062683,0.0,800.0,200.0,794994.0654296875,0.0,993.7425817871094,199391.5751953125,0.0,996.9578759765624,99.0,993.7425817871094,,993.7425817871094,,993.7425817871094,,993.7425817871094,,993.7425817871094,,109.40787100791933,26896.0,19372.0,8892.0,"4/48, 36/9, 90/100, 100/100","4/12, 36/6, 90/2, 100/100",2575.0,0.0,,,,,,,,,,
4,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 00:01:50.860945,i386,18.35737586021424,0.0,800.0,200.0,221533.58984375,0.0,276.9169873046875,55534.70068359375,0.0,277.67350341796873,99.0,276.9169873046875,,276.9169873046875,,276.9169873046875,,276.9169873046875,,276.9169873046875,,140.82588982582092,20000.0,20200.0,0.0,"100/10000, 100/100","100/10000, 100/100",2853.0,0.0,,,,,,,,,,
5,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 00:06:38.384266,i386,146.15363597869873,0.0,800.0,200.0,590629.5131835938,0.0,738.2868914794922,148237.76513671875,0.0,741.1888256835938,99.0,738.2868914794922,,738.2868914794922,,738.2868914794922,,738.2868914794922,,738.2868914794922,,147.23399782180786,26706.0,19181.0,0.0,"4/48, 36/9, 90/99, 99/100","4/48, 36/9, 90/99, 99/100",2572.0,0.0,,,,,,,,,,
6,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",thinet,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 00:09:07.180229,i386,1.0635478496551514,0.0,800.0,200.0,17678710.494140625,0.0,22098.388117675782,4400499.556640625,0.0,22002.497783203125,99.0,22098.388117675782,,22098.388117675782,,22098.388117675782,,22098.388117675782,,22098.388117675782,,146.2623109817505,22088.0,16163.0,248.0,"4/44, 33/6, 60/99, 99/100","4/44, 33/6, 60/99, 99/100",2537.0,0.0,,,,,,,,,,
7,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 00:21:42.260972,i386,608.2174708843231,0.0,800.0,200.0,1509.60302734375,0.9962523452157598,1.887003784179688,1509.60302734375,0.9850375939849624,7.54801513671875,99.0,1.887003784179688,,1.887003784179688,,1.887003784179688,,1.887003784179688,,1.887003784179688,,114.26565408706664,26896.0,19372.0,13326.0,"4/48, 36/9, 90/100, 100/100","4/47, 36/9, 90/30, 100/30",3425.0,0.0,,,,,,,,,,
8,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.99, 0.99, 0.99, 1.0]",TOFD_INCOMPLETE,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 00:28:47.268500,i386,310.2890360355377,0.0,800.0,200.0,,0.0,,,0.0,,99.0,,,,,,,,,,,141.6753921508789,53412.0,19181.0,0.0,"4/48, 36/9, 90/99, 99/100","4/48, 36/9, 90/99, 99/100",5522.0,0.0,,,,,,,,,,
9,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.7, 0.7, 0.7, 1.0]",RandomStructured,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 00:31:10.754399,i386,0.0281431674957275,0.0,800.0,200.0,1505.869384765625,0.9962523452157598,1.882336730957032,1505.869384765625,0.9850375939849624,7.529346923828125,99.0,1.882336730957032,,1.882336730957032,,1.882336730957032,,1.882336730957032,,1.882336730957032,,160.08323001861572,26896.0,19372.0,13326.0,"4/48, 36/9, 90/100, 100/100","4/47, 36/9, 90/30, 100/30",3850.0,0.0,,,,,,,,,,
10,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.7, 0.7, 0.7, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 00:34:57.727339,i386,66.3801498413086,0.0,800.0,200.0,1527.3629150390625,0.9962523452157598,1.909203643798828,1527.3629150390625,0.9850375939849624,7.636814575195313,99.0,1.909203643798828,,1.909203643798828,,1.909203643798828,,1.909203643798828,,1.909203643798828,,123.56357407569884,26896.0,19372.0,13326.0,"4/48, 36/9, 90/100, 100/100","4/47, 36/9, 90/30, 100/30",3850.0,0.0,,,,,,,,,,
11,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.7, 0.7, 0.7, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 00:37:22.365800,i386,20.585963010787964,0.0,800.0,200.0,172503.95306396484,0.0,215.62994132995607,43262.192810058594,0.0,216.31096405029297,99.0,215.62994132995607,,215.62994132995607,,215.62994132995607,,215.62994132995607,,215.62994132995607,,154.27984499931335,20000.0,20200.0,7000.0,"100/10000, 100/100","100/10000, 100/30",3453.0,0.0,,,,,,,,,,
12,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.7, 0.7, 0.7, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 01:07:53.514871,i386,1676.3383350372314,0.0,800.0,200.0,54150.68130493164,0.3325,67.68835163116455,13646.375274658203,0.33,68.23187637329102,99.0,67.68835163116455,,67.68835163116455,,67.68835163116455,,67.68835163116455,,67.68835163116455,,161.494704246521,19222.0,13600.0,4900.0,"4/36, 27/9, 90/70, 70/100","4/36, 27/9, 90/70, 70/30",2476.0,0.0,,,,,,,,,,
13,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.7, 0.7, 0.7, 1.0]",thinet,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 01:10:36.546897,i386,0.9817898273468018,0.0,800.0,200.0,4078888.435546875,0.0,5098.6105444335935,1019252.498046875,0.0,5096.262490234375,99.0,5098.6105444335935,,5098.6105444335935,,5098.6105444335935,,5098.6105444335935,,5098.6105444335935,,162.25084781646729,15744.0,11461.0,42.0,"4/32, 24/6, 60/70, 70/100","4/32, 24/6, 60/70, 70/100",2441.0,0.0,,,,,,,,,,
14,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.7, 0.7, 0.7, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 01:24:13.106658,i386,653.8098387718201,0.0,800.0,200.0,159436.6143798828,0.6637523452157598,199.2957679748535,41588.97033691406,0.6550375939849624,207.94485168457032,99.0,199.2957679748535,,199.2957679748535,,199.2957679748535,,199.2957679748535,,199.2957679748535,,128.62305903434753,26896.0,19372.0,14136.0,"4/48, 36/9, 90/100, 100/100","4/33, 34/9, 90/30, 100/30",3425.0,0.0,,,,,,,,,,
15,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.7, 0.7, 0.7, 1.0]",TOFD_INCOMPLETE,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 01:31:31.496885,i386,309.2791919708252,0.0,800.0,200.0,,0.0,,,0.0,,99.0,,,,,,,,,,,142.4111442565918,38444.0,13600.0,0.0,"4/36, 27/9, 90/70, 70/100","4/36, 27/9, 90/70, 70/100",5359.0,0.0,,,,,,,,,,
16,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.57, 0.57, 0.57, 1.0]",RandomStructured,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 01:33:55.701929,i386,0.0265538692474365,0.0,800.0,200.0,158884.46850585938,0.6637523452157598,198.60558563232425,41449.263427734375,0.6550375939849624,207.24631713867188,99.0,198.60558563232425,,198.60558563232425,,198.60558563232425,,198.60558563232425,,198.60558563232425,,166.03633499145508,26896.0,19372.0,14136.0,"4/48, 36/9, 90/100, 100/100","4/33, 34/9, 90/30, 100/30",3850.0,0.0,,,,,,,,,,
17,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.57, 0.57, 0.57, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 01:37:48.393807,i386,66.14850306510925,0.0,800.0,200.0,173292.7049560547,0.6637523452157598,216.6158811950684,45092.69274902344,0.6550375939849624,225.4634637451172,99.0,216.6158811950684,,216.6158811950684,,216.6158811950684,,216.6158811950684,,216.6158811950684,,124.93341302871704,26896.0,19372.0,14136.0,"4/48, 36/9, 90/100, 100/100","4/33, 34/9, 90/30, 100/30",3850.0,0.0,,,,,,,,,,
18,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.57, 0.57, 0.57, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 01:40:14.228227,i386,20.235307931900024,0.0,800.0,200.0,140660.52755737305,0.0,175.82565944671632,35268.9870300293,0.0,176.34493515014648,99.0,175.82565944671632,,175.82565944671632,,175.82565944671632,,175.82565944671632,,175.82565944671632,,152.1655969619751,20000.0,20200.0,7000.0,"100/10000, 100/100","100/10000, 100/30",3453.0,0.0,,,,,,,,,,
19,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.57, 0.57, 0.57, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 02:26:33.477136,i386,2626.579856157303,0.0,800.0,200.0,26129.496994018555,0.0,32.66187124252319,6541.681137084961,0.0,32.70840568542481,99.0,32.66187124252319,,32.66187124252319,,32.66187124252319,,32.66187124252319,,32.66187124252319,,156.1220269203186,13096.0,9357.0,3990.0,"4/28, 21/6, 60/57, 57/100","4/28, 21/6, 60/57, 57/30",2399.0,0.0,,,,,,,,,,
20,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.57, 0.57, 0.57, 1.0]",thinet,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 02:29:10.866371,i386,0.7710552215576172,0.0,800.0,200.0,9943771.9375,0.0,12429.714921875,2502606.3125,0.0,12513.0315625,99.0,12429.714921875,,12429.714921875,,12429.714921875,,12429.714921875,,12429.714921875,,155.8163778781891,10148.0,7486.0,152.0,"4/24, 18/3, 30/56, 56/100","4/24, 18/3, 30/56, 56/100",2361.0,0.0,,,,,,,,,,
21,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.57, 0.57, 0.57, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 02:42:19.241688,i386,631.8858120441437,0.0,800.0,200.0,41101.88510131836,0.6637523452157598,51.37735637664795,11735.372039794922,0.6550375939849624,58.67686019897461,99.0,51.37735637664795,,51.37735637664795,,51.37735637664795,,51.37735637664795,,51.37735637664795,,122.9326241016388,26896.0,19372.0,14512.0,"4/48, 36/9, 90/100, 100/100","4/27, 34/9, 90/30, 100/30",3425.0,0.0,,,,,,,,,,
22,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.57, 0.57, 0.57, 1.0]",TOFD_INCOMPLETE,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 02:49:19.965940,i386,297.1277811527252,0.0,800.0,200.0,,0.0,,,0.0,,99.0,,,,,,,,,,,139.60666298866272,26192.0,9357.0,0.0,"4/28, 21/6, 60/57, 57/100","4/28, 21/6, 60/57, 57/100",5218.0,0.0,,,,,,,,,,
23,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.49, 0.49, 0.49, 1.0]",RandomStructured,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 02:51:41.220299,i386,0.023404836654663,0.0,800.0,200.0,41059.8518371582,0.6637523452157598,51.32481479644776,11722.38540649414,0.6550375939849624,58.6119270324707,99.0,51.32481479644776,,51.32481479644776,,51.32481479644776,,51.32481479644776,,51.32481479644776,,161.43190002441406,26896.0,19372.0,14512.0,"4/48, 36/9, 90/100, 100/100","4/27, 34/9, 90/30, 100/30",3850.0,0.0,,,,,,,,,,
24,v0.67 - 67,0,CrossEntropy,Adam,0.02,100,SimpleCNN,RandomDummy,3,0.2,1000,-2,0,cpu,0.001,0.001,"[12, 3, 30, 30]","[0.49, 0.49, 0.49, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3, 3]",,ModelStateDict1725335776.646253.pt,48418,2024-09-03 02:55:29.640772,i386,66.47277593612671,0.0,800.0,200.0,58358.05368041992,0.6637523452157598,72.9475671005249,16095.349212646484,0.6550375939849624,80.47674606323243,99.0,72.9475671005249,,72.9475671005249,,72.9475671005249,,72.9475671005249,,72.9475671005249,,124.4211220741272,26896.0,19372.0,14512.0,"4/48, 36/9, 90/100, 100/100","4/27, 34/9, 90/30, 100/30",3850.0,0.0,,,,,,,,,,
